team_abbreviation,year_id,pts,opp_pts,game_result,game_location
DAL,2015,106,98,W,Home
SAS,2015,113,100,W,Away
GSW,2015,100,113,L,Home
MEM,2015,107,102,W,Home
LAL,2015,102,107,L,Away
OKC,2015,78,85,L,Away
MIL,2015,85,78,W,Home
POR,2015,102,100,W,Home
CHO,2015,100,102,L,Away
ORL,2015,100,104,L,Away
TOR,2015,104,100,W,Home
ATL,2015,100,97,W,Home
UTA,2015,97,100,L,Away
BOS,2015,94,109,L,Home
OKC,2015,109,94,W,Away
DEN,2015,113,130,L,Home
POR,2015,130,113,W,Away
MIA,2015,75,81,L,Home
IND,2015,81,75,W,Away
HOU,2015,113,101,W,Neutral
MIN,2015,101,113,L,Neutral
LAL,2015,102,109,L,Away
NOP,2015,109,102,W,Home
NYK,2015,95,97,L,Home
ORL,2015,97,95,W,Away
BRK,2015,104,112,L,Away
PHO,2015,112,104,W,Home
WAS,2015,107,103,W,Home
DET,2015,103,107,L,Away
DAL,2015,123,70,W,Home
PHI,2015,70,123,L,Away
BRK,2015,99,107,L,Away
GSW,2015,107,99,W,Home
SAC,2015,110,111,L,Away
MEM,2015,111,110,W,Home
TOR,2015,93,100,L,Home
CHI,2015,100,93,W,Away
MIA,2015,103,114,L,Away
ATL,2015,114,103,W,Home
CLE,2015,122,121,W,Away
BOS,2015,121,122,L,Home
HOU,2015,88,87,W,Home
PHI,2015,87,88,L,Away
IND,2015,87,108,L,Home
DEN,2015,108,87,W,Away
SAS,2015,93,80,W,Away
LAL,2015,80,93,L,Home
MIN,2015,91,139,L,Away
NOP,2015,139,91,W,Home
NYK,2015,100,102,L,Home
DET,2015,96,89,W,Away
OKC,2015,89,96,L,Home
ORL,2015,101,85,W,Home
